Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Philippines/PH-RITM-0051/2020	EPI_ISL_1069188	2020-12-18	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (7.20% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.1	GH
hCoV-19/Philippines/PH-RITM-0052/2020	EPI_ISL_1069189	2020-12-31	Asia / Philippines / Region III	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (36.83% of overall sequence). NS7a without BLAST coverage. NS7b without BLAST coverage. NS6 without BLAST coverage.	alert	B.1	G
hCoV-19/Philippines/PH-RITM-0053/2020	EPI_ISL_1069190	2020-07-11	Asia / Philippines / Region IV-A	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (44.93% of overall sequence). NSP11 without BLAST coverage. M without BLAST coverage. NS3 without BLAST coverage. Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.29	G
hCoV-19/Philippines/PH-RITM-0054/2020	EPI_ISL_1069191	2020-06-26	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION	Artic-ncov2019 (minimap2)	Long stretches of NNNs (13.60% of overall sequence). Generated under less stringent quality filter at guppy demultiplexing step (i.e. without '--require_barcodes_both_ends' argument). Sample is for resequencing.	alert	B.6	O
hCoV-19/Philippines/PH-PGC-00315/2020	EPI_ISL_1081793	2020-12-29	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.64% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-00317/2020	EPI_ISL_1081794	2020-12-29	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.18% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-00401/2020	EPI_ISL_1081795	2020-12-10	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (2.09% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-00986/2021	EPI_ISL_1081796	2021-01-07	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (2.14% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02005/2021	EPI_ISL_1081797	2021-01-04	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (16.70% of overall sequence). Gap of 19 nucleotides when compared to the reference sequence. NS7b without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02008/2021	EPI_ISL_1081798	2021-01-03	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (6.75% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02009/2021	EPI_ISL_1081799	2021-01-03	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (10.07% of overall sequence). Gap of 19 nucleotides when compared to the reference sequence. NS7b without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02033/2021	EPI_ISL_1081800	2021-01-05	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.50% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02127/2021	EPI_ISL_1081801	2021-01-07	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (11.24% of overall sequence). Gap of 19 nucleotides when compared to the reference sequence. NS7b without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02131/2021	EPI_ISL_1081802	2021-01-07	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (3.66% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 18 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02133/2021	EPI_ISL_1081803	2021-01-07	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (10.08% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02152/2021	EPI_ISL_1081804	2021-01-09	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (4.68% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02181/2021	EPI_ISL_1081805	2021-01-08	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (4.07% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02183/2021	EPI_ISL_1081806	2021-01-08	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (2.32% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02184/2021	EPI_ISL_1081807	2021-01-08	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (7.42% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence. NS7b without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02185/2021	EPI_ISL_1081808	2021-01-08	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.61% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02225/2021	EPI_ISL_1081809	2021-01-08	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (2.02% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02408/2021	EPI_ISL_1081810	2021-01-07	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02434/2021	EPI_ISL_1081811	2021-01-12	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02630/2021	EPI_ISL_1081812	2021-01-16	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02725/2021	EPI_ISL_1081813	2021-01-14	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.91% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02730/2021	EPI_ISL_1081814	2021-01-16	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02732/2021	EPI_ISL_1081815	2021-01-17	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02733/2021	EPI_ISL_1081816	2021-01-17	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02740/2021	EPI_ISL_1081817	2021-01-19	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (13.84% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 9 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02745/2021	EPI_ISL_1081818	2021-01-19	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (19.60% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 9 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02756/2021	EPI_ISL_1081819	2021-01-15	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.97% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02770/2021	EPI_ISL_1081820	2021-01-15	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (6.09% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 18 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage. %UniqueMutations 0.06%.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02793/2021	EPI_ISL_1081821	2021-01-19	Asia / Philippines / Central Visayas	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02812/2021	EPI_ISL_1081822	2021-01-24	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02826/2021	EPI_ISL_1081823	2021-01-21	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02845/2021	EPI_ISL_1081824	2021-01-13	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02851/2021	EPI_ISL_1081825	2021-01-11	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02886/2021	EPI_ISL_1081826	2021-01-16	Asia / Philippines / Cordillera Administrative Region	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-02968/2021	EPI_ISL_1081827	2021-01-18	Asia / Philippines / Davao Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (49.45% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. NSP11 without BLAST coverage. NSP16 without BLAST coverage. NSP15 without BLAST coverage. E without BLAST coverage. NSP14 without BLAST coverage.	alert	B.1	G
hCoV-19/Philippines/PH-PGC-03040/2021	EPI_ISL_1081828	2021-01-25	Asia / Philippines / Davao Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (9.45% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. NSP11 without BLAST coverage.	alert	B.1.1.28	GR
hCoV-19/Philippines/PH-PGC-03690/2020	EPI_ISL_1081829	2020-12-22	Asia / Philippines / Calabarzon	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (49.68% of overall sequence). NSP8_E77stop results in 61.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 3 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage. NSP10 without BLAST coverage. NSP9 without BLAST coverage. E without BLAST coverage. %UniqueMutations 0.06%.	alert	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-03846/2021	EPI_ISL_1081830	2021-01-24	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-03939/2021	EPI_ISL_1081831	2021-01-31	Asia / Philippines / Central Luzon	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 18 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-03978/2021	EPI_ISL_1081832	2021-01-25	Asia / Philippines / National Capital Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Stretches of NNNs (1.72% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Philippines/PH-PGC-03982/2021	EPI_ISL_1081833	2021-01-24	Asia / Philippines / Calabarzon	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (16.64% of overall sequence). NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 1 nucleotides when compared to the reference sequence. NSP11 without BLAST coverage.	alert	B.1	G
hCoV-19/Philippines/PH-PGC-02775/2021	EPI_ISL_1081839	2021-01-17	Asia / Philippines / Central Visayas	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (10.94% of overall sequence). Gap of 1 nucleotide(s) found at refpos 21990 (FRAMESHIFT confirmed by submitter). NS8_Q27stop results in 78.5% truncation of the protein sequence. NSP11 without BLAST coverage.	alert	B.1.74	G
hCoV-19/Philippines/PH-PGC-03034/2021	EPI_ISL_1081840	2021-01-25	Asia / Philippines / Davao Region	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (33.59% of overall sequence). Insertion of 1 nucleotide(s) found at refpos 15827 (FRAMESHIFT confirmed by submitter). NS8_Q27stop results in 78.5% truncation of the protein sequence. NSP11 without BLAST coverage.	alert	B.1	GH
hCoV-19/Philippines/PH-PGC-03995/2021	EPI_ISL_1081841	2021-01-25	Asia / Philippines / Northern Mindanao	Human	Original	Nasopharyngeal swab		Illumina NovaSeq 6000	Illumina COVIDSeq, minimap2 v2.17, ivar v1.2.2, samtools v1.10	Long stretches of NNNs (34.94% of overall sequence). Gap of 7 nucleotide(s) found at refpos 11288 (FRAMESHIFT confirmed by submitter). NS8_Q27stop results in 78.5% truncation of the protein sequence. NSP11 without BLAST coverage. E without BLAST coverage. NSP6 without BLAST coverage.	alert	B.1.1.7	GRY
